sample_id,dataset,cancer type,origin,donor,sample type,number of ctcs,number of wbcs attached,timepoint
GSM5452926,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452927,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452928,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452929,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452930,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452931,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452932,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452933,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452934,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452935,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,resting
GSM5452936,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452937,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452938,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452939,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452940,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452941,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452942,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452943,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452944,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452945,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452946,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452947,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452948,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452949,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452950,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452951,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452952,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452953,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452954,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452955,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452956,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452957,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
GSM5452958,GSE180097,breast,xenograft,LM2,ctc_single,1,NULL,active
